feature,mean_pb_r,median_pb_r,std_pb_r,min_pb_r,max_pb_r,mean_abs_pb_r,median_abs_pb_r,pb_sign_consistency,pb_significant_count,pb_significant_ratio,dataset_count,mean_sp_rho,median_sp_rho,std_sp_rho,min_sp_rho,max_sp_rho,mean_abs_sp_rho,median_abs_sp_rho,sp_sign_consistency,sp_significant_count,sp_significant_ratio
reactive_power_27_max,-0.0605220943291607,-0.0605220943291607,0.0,-0.0605220943291607,-0.0605220943291607,0.0605220943291607,0.0605220943291607,1.0,1,1.0,1,-0.06022103356839672,-0.06022103356839672,0.0,-0.06022103356839672,-0.06022103356839672,0.06022103356839672,0.06022103356839672,1.0,1,1.0
reactive_power_27_avg,-0.05920783755448536,-0.05920783755448536,0.0,-0.05920783755448536,-0.05920783755448536,0.05920783755448536,0.05920783755448536,1.0,1,1.0,1,-0.059954383287123374,-0.059954383287123374,0.0,-0.059954383287123374,-0.059954383287123374,0.059954383287123374,0.059954383287123374,1.0,1,1.0
sensor_47,-0.058006899567768035,-0.058006899567768035,0.0,-0.058006899567768035,-0.058006899567768035,0.058006899567768035,0.058006899567768035,1.0,1,1.0,1,-0.04268048315339085,-0.04268048315339085,0.0,-0.04268048315339085,-0.04268048315339085,0.04268048315339085,0.04268048315339085,1.0,1,1.0
sensor_44,-0.05795752984801325,-0.05795752984801325,0.0,-0.05795752984801325,-0.05795752984801325,0.05795752984801325,0.05795752984801325,1.0,1,1.0,1,-0.053515750063005595,-0.053515750063005595,0.0,-0.053515750063005595,-0.053515750063005595,0.053515750063005595,0.053515750063005595,1.0,1,1.0
reactive_power_28_min,0.05739485027382432,0.05739485027382432,0.0,0.05739485027382432,0.05739485027382432,0.05739485027382432,0.05739485027382432,1.0,1,1.0,1,0.0537326142787109,0.0537326142787109,0.0,0.0537326142787109,0.0537326142787109,0.0537326142787109,0.0537326142787109,1.0,1,1.0
reactive_power_28_avg,0.056714989894367906,0.056714989894367906,0.0,0.056714989894367906,0.056714989894367906,0.056714989894367906,0.056714989894367906,1.0,1,1.0,1,0.059608865123286066,0.059608865123286066,0.0,0.059608865123286066,0.059608865123286066,0.059608865123286066,0.059608865123286066,1.0,1,1.0
sensor_38_avg,0.05636607146384974,0.05636607146384974,0.0,0.05636607146384974,0.05636607146384974,0.05636607146384974,0.05636607146384974,1.0,1,1.0,1,0.04372428583768878,0.04372428583768878,0.0,0.04372428583768878,0.04372428583768878,0.04372428583768878,0.04372428583768878,1.0,1,1.0
sensor_18_min,-0.05593078626398005,-0.05593078626398005,0.0,-0.05593078626398005,-0.05593078626398005,0.05593078626398005,0.05593078626398005,1.0,1,1.0,1,-0.05305431564358105,-0.05305431564358105,0.0,-0.05305431564358105,-0.05305431564358105,0.05305431564358105,0.05305431564358105,1.0,1,1.0
sensor_52_min,-0.054313282489308334,-0.054313282489308334,0.0,-0.054313282489308334,-0.054313282489308334,0.054313282489308334,0.054313282489308334,1.0,1,1.0,1,-0.0467215251939228,-0.0467215251939228,0.0,-0.0467215251939228,-0.0467215251939228,0.0467215251939228,0.0467215251939228,1.0,1,1.0
sensor_40_avg,0.054263652242998554,0.054263652242998554,0.0,0.054263652242998554,0.054263652242998554,0.054263652242998554,0.054263652242998554,1.0,1,1.0,1,0.04209701155210293,0.04209701155210293,0.0,0.04209701155210293,0.04209701155210293,0.04209701155210293,0.04209701155210293,1.0,1,1.0
